uuid,commodity_name,country,market,price_type,unit
8c3d042e-bdf9-400c-b4ff-e3d1ab1892a6,Palm Oil,Angola,Bié,RETAIL,Liter
8d976842-9a9b-4d4d-9b58-ae5991574355,Wheat (flour),Angola,Huambo,RETAIL,Kg
9046a8c1-99c5-4a67-bf97-80441282052e,Palm Oil,Angola,Lunda Sul,RETAIL,Liter
9636aaf1-d8fc-4f8c-90ee-fa000e89c919,Maize (flour),Angola,Benguela,RETAIL,Kg
9b07d02a-195f-4a74-9a13-71fd8eae4836,Cassava,Angola,Lunda Norte,RETAIL,Kg
9ca5655e-db6d-4e99-b969-b549c6463e3e,Cassava,Angola,Cuando Cubango,RETAIL,Kg
9e22485e-df63-4b81-b09e-b59a5c176d5d,Maize (flour),Angola,Lunda Sul,RETAIL,Kg
a0a88139-6062-4d93-a22a-b58f16a9468d,Maize (flour),Angola,Uíge,RETAIL,Kg
a3a50ddb-7323-4398-ace2-336e8bee8752,Rice (long grain),Angola,Cunene,RETAIL,Kg
a7da26b5-50fa-4353-bfd6-f4409cb3744a,Maize (flour),Angola,Huambo,RETAIL,Kg
a95be50f-4a58-4191-a1b9-a476d20b7eb8,Sugar (white),Angola,Namibe,RETAIL,Kg
a9653ad5-05f6-4bf1-a961-d485a3ca1f70,Palm Oil,Angola,Luanda,RETAIL,Liter
ab1375da-f3b8-4c0b-adff-851de7e86b1d,Rice (long grain),Angola,Huíla,RETAIL,Kg
ab3420ce-2f24-4d99-85ce-fb1c0bf2895e,Sugar (white),Angola,Malanje,RETAIL,Kg
b1752a67-ddc7-42e3-acf0-500079ee662d,Wheat (flour),Angola,Cuando Cubango,RETAIL,Kg
b6193a11-7378-46ea-aee6-ee457caa92d4,Wheat (flour),Angola,Huíla,RETAIL,Kg
b6c15ca0-e006-494e-bf03-7ee46980b985,Sugar (white),Angola,Huíla,RETAIL,Kg
b7367d9a-a21d-4f36-921a-e75926bd4f68,Cassava,Angola,Cuanza Norte,RETAIL,Kg
b8805516-0f4d-4689-9fb5-ec2a0235389a,Rice (long grain),Angola,Cuanza Norte,RETAIL,Kg
b908b982-48b4-4758-b410-dc98b0ac935a,Palm Oil,Angola,Huambo,RETAIL,Liter
bc2f3c00-14d2-4172-b917-a33f13563fca,Maize (flour),Angola,Lunda Norte,RETAIL,Kg
c22cb3ee-bf5b-44f6-91d0-682e9e09d696,Wheat (flour),Angola,Uíge,RETAIL,Kg
c79d321d-c7fd-4d50-8f4f-8e887a92e359,Maize (flour),Angola,Namibe,RETAIL,Kg
c7fb605d-b20b-45d4-afbf-729cb9fffc8f,Rice (long grain),Angola,Luanda,RETAIL,Kg
c9e93642-6772-44a4-955f-72b4cb53aeb9,Maize (flour),Angola,Cuando Cubango,RETAIL,Kg
cc7b0124-15ca-4270-beb4-850e22d34642,Palm Oil,Angola,Zaire,RETAIL,Liter
ccee0800-2ff0-4112-83bc-5774e74a9d41,Palm Oil,Angola,Cunene,RETAIL,Liter
cecc3cbe-4147-427e-a2c2-df01f01b7e93,Cassava,Angola,Lunda Sul,RETAIL,Kg
d19ef980-50a7-4806-850c-86713830814f,Wheat (flour),Angola,Cuanza Norte,RETAIL,Kg
d314865f-96ee-4104-a294-60fd1249fb71,Cassava,Angola,Huambo,RETAIL,Kg
d3e729c4-b57d-47dc-9b0a-1d3a2c58fc94,Maize (flour),Angola,Zaire,RETAIL,Kg
d6d72deb-3d67-4bae-a5bc-da2deb76333b,Maize (flour),Angola,Moxico,RETAIL,Kg
d99ed09b-d9ab-4ec1-920a-8cb15ae059b7,Rice (long grain),Angola,Bié,RETAIL,Kg
d9ca9723-5570-4799-8ecc-fb7aa2ae4aa7,Sugar (white),Angola,Cabinda,RETAIL,Kg
d9fb5d9e-96a4-4c29-b86b-0eadabc0554a,Sugar (white),Angola,Luanda,RETAIL,Kg
dddca7f1-975c-4481-8953-dba264cb5a65,Sugar (white),Angola,Benguela,RETAIL,Kg
dfdecc7c-2be0-4c9d-a206-1526e38bf978,Wheat (flour),Angola,Lunda Norte,RETAIL,Kg
e6eea153-827c-4c30-b3fa-e8d0bb4bc385,Palm Oil,Angola,Lunda Norte,RETAIL,Liter
e7e9c19d-7538-445e-b12b-d84a364673a4,Rice (long grain),Angola,Namibe,RETAIL,Kg
e9534d5d-6499-46bf-9a81-0fc010225622,Cassava,Angola,Zaire,RETAIL,Kg
e99a85b5-4baf-45a5-ba5c-355027a15156,Maize (flour),Angola,Malanje,RETAIL,Kg
eb0ea0de-9b79-4a04-b534-0e5886c951c9,Maize (flour),Angola,Cuanza Sul,RETAIL,Kg
edbb03ce-6a0d-4cdd-9071-37779c46488a,Maize (flour),Angola,Cunene,RETAIL,Kg
ee701735-462c-4c1a-86df-0a58e831a52e,Palm Oil,Angola,Cuanza Sul,RETAIL,Liter
ee785f20-0690-437f-a52b-9d442b2458cc,Rice (long grain),Angola,Bengo,RETAIL,Kg
f43e0c46-317a-48cd-bbcd-9c365b569cd4,Cassava,Angola,Namibe,RETAIL,Kg
f546de58-ffa2-48c3-90ea-5bfbc2633943,Rice (long grain),Angola,Cuanza Sul,RETAIL,Kg
fca22aee-530d-4334-9f62-8fc0455fbdcc,Maize (flour),Angola,Bengo,RETAIL,Kg
fccea47f-c1d4-4132-a4d2-57c71b6601d2,Cassava,Angola,Uíge,RETAIL,Kg
00e64339-3312-437e-861f-0522d321208f,Milk (fresh),Argentina,Patagonia,RETAIL,Liter
0a32241c-4df2-464d-b16c-3a74c68bff8e,Wheat (flour),Argentina,Pampeana,RETAIL,Kg
0bf5fbf4-177e-42a2-9010-4cbae015fa06,Beef meat,Argentina,Greater Buenos Aires,RETAIL,Kg
0c5ac017-04d2-41b6-bff6-f9bfbef32900,Potatoes,Argentina,Cuyo,RETAIL,Kg
0d29c20c-e6cb-42f0-9b9a-ba559c120551,Bread (French type),Argentina,Greater Buenos Aires,RETAIL,Kg
0e0196be-6299-4dd8-892a-c5310a37a767,Sugar,Argentina,Patagonia,RETAIL,Kg
0e45444f-6443-4a13-a31a-33cd10883296,Potatoes,Argentina,Noreste,RETAIL,Kg
15b86518-5ba2-40e7-8764-9313e3960f86,Beef meat,Argentina,Pampeana,RETAIL,Kg
191a52f2-cf49-43e2-82af-6d0e0c52c90c,Potatoes,Argentina,Patagonia,RETAIL,Kg
19f22970-88e1-4583-963f-cbc6ed98b0fd,Sugar,Argentina,Noreste,RETAIL,Kg
1c4a0ee6-5c46-4b0f-97bf-a42190769943,Sunflower oil,Argentina,Cuyo,RETAIL,1.5 Liter
1c5132cd-8c80-428b-8931-f015f48786bc,Milk (fresh),Argentina,Noreste,RETAIL,Liter
1d0048d3-ac29-4e92-a5ad-7b3a4e472634,Potatoes,Argentina,Noroeste,RETAIL,Kg
1fa6a252-a034-498b-bd33-93c2df08ae56,Sunflower oil,Argentina,Noreste,RETAIL,1.5 Liter
266b6543-766f-402b-abe6-ceefe20855ac,Bread (French type),Argentina,Patagonia,RETAIL,Kg
2895045f-e810-4c24-a51e-23359e6df5ba,Wheat (flour),Argentina,Greater Buenos Aires,RETAIL,Kg
3a0b6816-6436-457f-bf20-ab62d54fa632,Pasta,Argentina,Patagonia,RETAIL,500 gms
