commodity_name,market,price_type,date,price_usd,unit,uuid
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2018-02-01,450.75,tonne,c7208b39-2617-426c-b248-c975cb951254
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2018-01-01,468.0,tonne,c7208b39-2617-426c-b248-c975cb951254
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2017-12-01,430.75,tonne,c7208b39-2617-426c-b248-c975cb951254
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2017-11-01,427.0,tonne,c7208b39-2617-426c-b248-c975cb951254
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2017-10-01,411.25,tonne,c7208b39-2617-426c-b248-c975cb951254
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2017-09-01,417.25,tonne,c7208b39-2617-426c-b248-c975cb951254
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2017-08-01,408.0,tonne,c7208b39-2617-426c-b248-c975cb951254
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2017-07-01,431.75,tonne,c7208b39-2617-426c-b248-c975cb951254
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2017-06-01,473.25,tonne,c7208b39-2617-426c-b248-c975cb951254
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2017-05-01,435.5,tonne,c7208b39-2617-426c-b248-c975cb951254
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2017-04-01,394.25,tonne,c7208b39-2617-426c-b248-c975cb951254
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2017-03-01,384.75,tonne,c7208b39-2617-426c-b248-c975cb951254
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2017-02-01,382.25,tonne,c7208b39-2617-426c-b248-c975cb951254
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2017-01-01,391.75,tonne,c7208b39-2617-426c-b248-c975cb951254
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2016-12-01,384.0,tonne,c7208b39-2617-426c-b248-c975cb951254
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2016-11-01,374.33,tonne,c7208b39-2617-426c-b248-c975cb951254
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2016-10-01,374.75,tonne,c7208b39-2617-426c-b248-c975cb951254
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2016-09-01,397.5,tonne,c7208b39-2617-426c-b248-c975cb951254
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2016-08-01,428.4,tonne,c7208b39-2617-426c-b248-c975cb951254
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2016-07-01,457.33,tonne,c7208b39-2617-426c-b248-c975cb951254
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2016-06-01,455.75,tonne,c7208b39-2617-426c-b248-c975cb951254
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2016-05-01,449.75,tonne,c7208b39-2617-426c-b248-c975cb951254
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2016-04-01,403.67,tonne,c7208b39-2617-426c-b248-c975cb951254
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2016-03-01,392.2,tonne,c7208b39-2617-426c-b248-c975cb951254
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2016-02-01,389.25,tonne,c7208b39-2617-426c-b248-c975cb951254
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2016-01-01,375.0,tonne,c7208b39-2617-426c-b248-c975cb951254
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2015-12-01,373.25,tonne,c7208b39-2617-426c-b248-c975cb951254
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2015-11-01,379.5,tonne,c7208b39-2617-426c-b248-c975cb951254
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2015-10-01,380.75,tonne,c7208b39-2617-426c-b248-c975cb951254
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2015-09-01,365.4,tonne,c7208b39-2617-426c-b248-c975cb951254
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2015-08-01,381.5,tonne,c7208b39-2617-426c-b248-c975cb951254
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2015-07-01,404.25,tonne,c7208b39-2617-426c-b248-c975cb951254
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2015-06-01,386.2,tonne,c7208b39-2617-426c-b248-c975cb951254
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2015-05-01,389.5,tonne,c7208b39-2617-426c-b248-c975cb951254
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2015-04-01,407.33,tonne,c7208b39-2617-426c-b248-c975cb951254
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2015-03-01,417.2,tonne,c7208b39-2617-426c-b248-c975cb951254
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2015-02-01,429.67,tonne,c7208b39-2617-426c-b248-c975cb951254
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2015-01-01,429.0,tonne,c7208b39-2617-426c-b248-c975cb951254
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2014-12-01,427.25,tonne,c7208b39-2617-426c-b248-c975cb951254
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2014-11-01,427.0,tonne,c7208b39-2617-426c-b248-c975cb951254
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2014-10-01,436.0,tonne,c7208b39-2617-426c-b248-c975cb951254
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2014-09-01,443.4,tonne,c7208b39-2617-426c-b248-c975cb951254
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2014-08-01,460.25,tonne,c7208b39-2617-426c-b248-c975cb951254
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2014-07-01,440.6,tonne,c7208b39-2617-426c-b248-c975cb951254
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2014-06-01,418.75,tonne,c7208b39-2617-426c-b248-c975cb951254
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2014-05-01,407.5,tonne,c7208b39-2617-426c-b248-c975cb951254
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2014-04-01,408.5,tonne,c7208b39-2617-426c-b248-c975cb951254
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2014-03-01,430.0,tonne,c7208b39-2617-426c-b248-c975cb951254
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2014-02-01,465.5,tonne,c7208b39-2617-426c-b248-c975cb951254
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2014-01-01,456.5,tonne,c7208b39-2617-426c-b248-c975cb951254
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2013-12-01,458.67,tonne,c7208b39-2617-426c-b248-c975cb951254
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2013-11-01,451.33,tonne,c7208b39-2617-426c-b248-c975cb951254
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2013-10-01,456.0,tonne,c7208b39-2617-426c-b248-c975cb951254
