date,price_usd,commodity_name,commodity_type,country,iso3,region,subregion,market,price_type,unit,unit_std,price_per_unit,price_source,gdp_ppp17,gdppc_ppp,gnipc_ppp,population,inflation,income_level
2009-03-01,0.59,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.59,Domestic,,,,42647492.0,-6.601185641,
2009-04-01,0.6,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.6,Domestic,,,,42647492.0,-6.601185641,
2009-05-01,0.61,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.61,Domestic,,,,42647492.0,-6.601185641,
2009-06-01,0.59,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.59,Domestic,,,,42647492.0,-6.601185641,
2009-07-01,0.59,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.59,Domestic,,,,42647492.0,-6.601185641,
2009-08-01,0.6,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.6,Domestic,,,,42647492.0,-6.601185641,
2009-09-01,0.59,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.59,Domestic,,,,42647492.0,-6.601185641,
2009-10-01,0.6,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.6,Domestic,,,,42647492.0,-6.601185641,
2009-11-01,0.61,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.61,Domestic,,,,42647492.0,-6.601185641,
2009-12-01,0.62,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.62,Domestic,,,,42647492.0,-6.601185641,
2010-01-01,0.62,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.62,Domestic,,,,42647492.0,-6.601185641,
2010-02-01,0.63,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.63,Domestic,,,,42647492.0,-6.601185641,
2010-03-01,0.63,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.63,Domestic,,,,42647492.0,-6.601185641,
2010-04-01,0.62,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.62,Domestic,,,,42647492.0,-6.601185641,
2010-05-01,0.64,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.64,Domestic,,,,42647492.0,-6.601185641,
2010-06-01,0.65,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.65,Domestic,,,,42647492.0,-6.601185641,
2010-07-01,0.66,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.66,Domestic,,,,42647492.0,-6.601185641,
2010-08-01,0.65,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.65,Domestic,,,,42647492.0,-6.601185641,
2010-09-01,0.66,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.66,Domestic,,,,42647492.0,-6.601185641,
2010-10-01,0.67,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.67,Domestic,,,,42647492.0,-6.601185641,
2010-11-01,0.72,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.72,Domestic,,,,42647492.0,-6.601185641,
2010-12-01,0.76,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.76,Domestic,,,,42647492.0,-6.601185641,
2011-01-01,0.72,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.72,Domestic,,,,42647492.0,-6.601185641,
2011-02-01,0.71,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.71,Domestic,,,,42647492.0,-6.601185641,
2011-03-01,0.71,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.71,Domestic,,,,42647492.0,-6.601185641,
2011-04-01,0.7,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.7,Domestic,,,,42647492.0,-6.601185641,
2011-05-01,0.7,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.7,Domestic,,,,42647492.0,-6.601185641,
2011-06-01,0.69,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.69,Domestic,,,,42647492.0,-6.601185641,
2011-07-01,0.67,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.67,Domestic,,,,42647492.0,-6.601185641,
2011-08-01,0.68,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.68,Domestic,,,,42647492.0,-6.601185641,
2011-09-01,0.67,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.67,Domestic,,,,42647492.0,-6.601185641,
2011-10-01,0.67,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.67,Domestic,,,,42647492.0,-6.601185641,
2011-11-01,0.67,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.67,Domestic,,,,42647492.0,-6.601185641,
2011-12-01,0.66,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.66,Domestic,,,,42647492.0,-6.601185641,
2012-01-01,0.65,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.65,Domestic,,,,42647492.0,-6.601185641,
2012-02-01,0.65,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.65,Domestic,,,,42647492.0,-6.601185641,
2012-03-01,0.65,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.65,Domestic,,,,42647492.0,-6.601185641,
2012-04-01,0.64,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.64,Domestic,,,,42647492.0,-6.601185641,
2012-05-01,0.64,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.64,Domestic,,,,42647492.0,-6.601185641,
2012-06-01,0.63,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.63,Domestic,,,,42647492.0,-6.601185641,
